"V1","text"
"THE BOY WHO LIVED","book 1"
"M r. and Mrs. Dursley, of number four, Privet Drive, were proud to say","book 1"
"that they were perfectly normal, thank you very much. They were the last people","book 1"
"you’d expect to be involved in anything strange or mysterious, because they just","book 1"
"didn’t hold with such nonsense.","book 1"
"Mr. Dursley was the director of a firm called Grunnings, which made","book 1"
"drills. He was a big, beefy man with hardly any neck, although he did have a","book 1"
"very large mustache. Mrs. Dursley was thin and blonde and had nearly twice the","book 1"
"usual amount of neck, which came in very useful as she spent so much of her","book 1"
"time craning over garden fences, spying on the neighbors. The Dursleys had a","book 1"
"small son called Dudley and in their opinion there was no finer boy anywhere.","book 1"
"The Dursleys had everything they wanted, but they also had a secret, and","book 1"
"their greatest fear was that somebody would discover it. They didn’t think they","book 1"
"could bear it if anyone found out about the Potters. Mrs. Potter was Mrs.","book 1"
"Dursley’s sister, but they hadn’t met for several years; in fact, Mrs. Dursley","book 1"
"pretended she didn’t have a sister, because her sister and her good-for-nothing","book 1"
"husband were as unDursleyish as it was possible to be. The Dursleys shuddered","book 1"
"to think what the neighbors would say if the Potters arrived in the street. The","book 1"
"Dursleys knew that the Potters had a small son, too, but they had never even","book 1"
"seen him. This boy was another good reason for keeping the Potters away; they","book 1"
"didn’t want Dudley mixing with a child like that.","book 1"
"When Mr. and Mrs. Dursley woke up on the dull, gray Tuesday our story","book 1"
"starts, there was nothing about the cloudy sky outside to suggest that strange and","book 1"
"mysterious things would soon be happening all over the country. Mr. Dursley","book 1"
"hummed as he picked out his most boring tie for work, and Mrs. Dursley","book 1"
"gossiped away happily as she wrestled a screaming Dudley into his high chair.","book 1"
"None of them noticed a large, tawny owl flutter past the window.","book 1"
"At half past eight, Mr. Dursley picked up his briefcase, pecked Mrs.","book 1"
"Dursley on the cheek, and tried to kiss Dudley good-bye but missed, because","book 1"
"Dudley was now having a tantrum and throwing his cereal at the walls.","book 1"
"“Little tyke,” chortled Mr. Dursley as he left the house. He got into his car","book 1"
"and backed out of number four’s drive.","book 1"
"It was on the corner of the street that he noticed the first sign of","book 1"
"something peculiar — a cat reading a map. For a second, Mr. Dursley didn’t","book 1"
